idealista_id,typology,area_in_m2,floor,region_parish,price_in_euros,seller contact,link_idealista,idealista_ad_title
31491597,T2 ,84, ,campolide,695000,215560203.0,https://www.idealista.pt/imovel/31491597/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490747,T2 ,92, ,campolide,710000,215560203.0,https://www.idealista.pt/imovel/31490747/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490746,T2 ,92, ,campolide,710000,215560203.0,https://www.idealista.pt/imovel/31490746/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490745,T2 ,92, ,campolide,700000,215560203.0,https://www.idealista.pt/imovel/31490745/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490744,T2 ,92, ,campolide,710000,215560203.0,https://www.idealista.pt/imovel/31490744/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490743,T2 ,101, ,campolide,870000,215560203.0,https://www.idealista.pt/imovel/31490743/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490742,T2 ,105, ,campolide,735000,215560203.0,https://www.idealista.pt/imovel/31490742/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490741,T2 ,92, ,campolide,715000,215560203.0,https://www.idealista.pt/imovel/31490741/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31490229,T2 ,50,1º andar ,campolide,245000,215561475.0,https://www.idealista.pt/imovel/31490229/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31489227,T4 ,246,16º andar ,campolide,799000,215561846.0,https://www.idealista.pt/imovel/31489227/,"Apartamento T4 em Praça de Espanha - Sete Rios, Campolide"
31487323,T3 ,80,2º andar ,campolide,350000,210062168.0,https://www.idealista.pt/imovel/31487323/,"Duplex em Praça de Espanha - Sete Rios, Campolide"
31487292,T3 ,86,2º andar ,campolide,375000,210062168.0,https://www.idealista.pt/imovel/31487292/,"Duplex em Praça de Espanha - Sete Rios, Campolide"
31486309,T3 ,82,,campolide,320000,265560148.0,https://www.idealista.pt/imovel/31486309/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
31486050,T2 ,98, ,campolide,260000,215564153.0,https://www.idealista.pt/imovel/31486050/,"Apartamento T2 em Bairro Calçada dos Mestres, Campolide"
31484922,T3 ,150, ,campolide,1250000,215560203.0,https://www.idealista.pt/imovel/31484922/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
31484921,T2 ,91, ,campolide,715000,215560203.0,https://www.idealista.pt/imovel/31484921/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484920,T2 ,92, ,campolide,700000,215560203.0,https://www.idealista.pt/imovel/31484920/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484917,T2 ,103, ,campolide,770000,215560203.0,https://www.idealista.pt/imovel/31484917/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31484916,T2 ,119, ,campolide,850000,215560203.0,https://www.idealista.pt/imovel/31484916/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
